tamanho,tipo,tempo
10000,Randomico,0.024
10,Crescente,0
100,Crescente,0
1000,Crescente,0
10000,Crescente,0
100000,Crescente,0
1000000,Crescente,0.002
10,Decrescente,0
100,Decrescente,0
1000,Decrescente,0
10000,Decrescente,0.046
100000,Decrescente,4.977
1000000,Decrescente,540.906
10,Randomico,0
100,Randomico,0
1000,Randomico,0
10,Randomico,5e-07
100,Randomico,4.7e-06
1000,Randomico,0.0002639
10000,Randomico,0.0229268
100000,Randomico,2.43147
1000000,Randomico,281.706
10,Crescente,4e-07
100,Crescente,3e-07
1000,Crescente,1.7e-06
10000,Crescente,1.49e-05
100000,Crescente,0.0001353
1000000,Crescente,0.0013927
10,Decrescente,4e-07
100,Decrescente,6.1e-06
1000,Decrescente,0.0004785
10000,Decrescente,0.0509985
100000,Decrescente,4.95103
1000000,Decrescente,529.921
10,Randomico,5e-07
100,Randomico,5.1e-06
1000,Randomico,0.0002347
10000,Randomico,0.0229743
100000,Randomico,2.47789
1000000,Randomico,263.475
100000,Randomico,2.41424
